ONTOLOGIES,version,,,,,,,,,
semantic integrated science,http://semanticscience.org/ontology/sio.owl,,,,,,,,,
,,,,smoking,causes,lung cancer,,,,
Scan Name,name,http://semanticscience.org/resource/SIO_000116,is_attribute_of,http://semanticscience.org/resource/SIO_000011,data collection,http://semanticscience.org/resource/SIO_001052,,,,
Normalization,normalization data transformation,http://purl.obolibrary.org/obo/OBI_0200169,,,,,,,,
Normalization Name,name,http://semanticscience.org/resource/SIO_000116,is_attribute_of,http://semanticscience.org/resource/SIO_000011,data transformation,,,,,
Data Transformation ,data transformation,http://semanticscience.org/resource/SIO_000594,,,,,,,,
Data Transformation Name,name,http://semanticscience.org/resource/SIO_000116,is_attribute_of,http://semanticscience.org/resource/SIO_000011,data transformation,Data Transformation,,,,
Data File,file,http://semanticscience.org/resource/SIO_000396,is output of ,http://semanticscience.org/resource/SIO_000232,data transformation,,,,,
Data File Name,name,http://semanticscience.org/resource/SIO_000116,is_attribute_of,http://semanticscience.org/resource/SIO_000011,file,,,,,
Comment[],comment,http://semanticscience.org/resource/SIO_001167,describes,http://semanticscience.org/resource/SIO_000563,entity,http://semanticscience.org/resource/SIO_000000,,,,
Factor Value[],,,has value,http://semanticscience.org/resource/SIO_000300,independent variable,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
ISA File Node (Image File || Raw Data File || Derived Data File),,,is input in ,http://semanticscience.org/resource/SIO_000231,data transformation,,,,,
Protocol REF,,,,,,,,,,
ISA File Node (Raw Data File || Derived Data File),,,is output of ,http://semanticscience.org/resource/SIO_000232,data transformation,,,,,
,,,,,,,,,,
,,,,,,,,,,
Characteristics[ quality ],object quality,http://semanticscience.org/resource/SIO_000026,is attribute of (and subclass),http://semanticscience.org/resource/SIO_000011,entity,has value,http://semanticscience.org/resource/SIO_000300,,,
Unit,has unit,http://semanticscience.org/resource/SIO_000221,unit of measurement,http://semanticscience.org/resource/SIO_000074,is measurement value of ,http://semanticscience.org/resource/SIO_000215,entity,,,
Term Source Accession,record identifier,http://semanticscience.org/resource/SIO_000729,is_identifier_for,http://semanticscience.org/resource/SIO_000672,entity (unit or quality),,,,,
Term Source REF,ontology document,http://semanticscience.org/resource/SIO_000129,,,,,,,,
,,,,,,,,,,
Parameter Value[device setting],is measurement value of ,http://semanticscience.org/resource/SIO_000215,is parameter in,http://semanticscience.org/resource/SIO_000553,procedure,has value,http://semanticscience.org/resource/SIO_000300,,,
Unit,has unit,http://semanticscience.org/resource/SIO_000221,unit of measurement,http://semanticscience.org/resource/SIO_000074,is measurement value of ,http://semanticscience.org/resource/SIO_000215,entity,,,
Term Source Accession,record identifier,http://semanticscience.org/resource/SIO_000729,is_identifier_for,http://semanticscience.org/resource/SIO_000672,entity (unit or quality),,,,,
Term Source REF,ontology document,http://semanticscience.org/resource/SIO_000129,,,,,,,,
,,,,,,,,,,
Factor Value[quality],object quality,http://semanticscience.org/resource/SIO_000026,is attribute of (and subclass),http://semanticscience.org/resource/SIO_000011,entity,has value,http://semanticscience.org/resource/SIO_000300,,,
Unit,has unit,http://semanticscience.org/resource/SIO_000221,unit of measurement,http://semanticscience.org/resource/SIO_000074,is measurement value of ,http://semanticscience.org/resource/SIO_000215,entity,,,
Term Source Accession,record identifier,http://semanticscience.org/resource/SIO_000729,is_identifier_for,http://semanticscience.org/resource/SIO_000672,entity (unit or quality),,,,,
Term Source REF,ontology document,http://semanticscience.org/resource/SIO_000129,,,,,,,,
